Robot,X,Y
5,-0.633656,-1.226254
5,-0.633656,-1.226254
5,-0.633656,-1.226254
5,-0.631719,-1.222611
5,-0.631719,-1.222611
5,-0.631719,-1.222611
5,-0.633595,-1.226403
5,-0.633595,-1.226403
5,-0.633595,-1.226403
5,-0.627644,-1.215114
5,-0.627644,-1.215114
5,-0.627644,-1.215114
5,-0.627809,-1.214963
5,-0.627809,-1.214963
5,-0.633089,-1.224912
5,-0.633089,-1.224912
5,-0.628589,-1.217035
5,-0.628589,-1.217035
5,-0.628589,-1.217035
5,-0.62739,-1.214698
5,-0.62739,-1.214698
5,-0.62739,-1.214698
5,-0.636376,-1.231241
5,-0.636376,-1.231241
5,-0.636376,-1.231241
5,-0.63005,-1.21971
5,-0.63005,-1.21971
5,-0.63005,-1.21971
5,-0.629008,-1.21777
5,-0.629008,-1.21777
5,-0.629008,-1.21777
5,-0.631041,-1.221432
5,-0.631041,-1.221432
5,-0.631041,-1.221432
5,-0.631041,-1.221432
5,-0.635135,-1.229277
5,-0.635135,-1.229277
5,-0.635135,-1.229277
5,-0.635135,-1.229277
5,-0.631358,-1.221927
5,-0.631358,-1.221927
5,-0.631358,-1.221927
5,-0.634112,-1.226861
5,-0.634112,-1.226861
5,-0.634112,-1.226861
5,-0.633709,-1.226486
5,-0.633709,-1.226486
5,-0.633709,-1.226486
5,-0.633709,-1.226486
5,-0.633709,-1.226486
5,-0.629382,-1.218343
5,-0.629382,-1.218343
5,-0.629382,-1.218343
5,-0.631957,-1.2234
5,-0.631957,-1.2234
5,-0.631957,-1.2234
5,-0.633898,-1.22673
5,-0.633898,-1.22673
5,-0.633898,-1.22673
5,-0.629291,-1.218149
5,-0.629291,-1.218149
5,-0.629291,-1.218149
5,-0.633921,-1.226892
5,-0.633921,-1.226892
5,-0.628056,-1.215842
5,-0.628056,-1.215842
5,-0.631033,-1.221306
5,-0.631033,-1.221306
5,-0.631033,-1.221306
5,-0.626989,-1.214241
5,-0.626989,-1.214241
5,-0.626989,-1.214241
5,-0.636354,-1.231401
5,-0.636354,-1.231401
5,-0.636354,-1.231401
5,-0.636256,-1.231324
5,-0.636256,-1.231324
5,-0.636256,-1.231324
5,-0.630449,-1.220298
5,-0.630449,-1.220298
5,-0.630449,-1.220298
5,-0.630672,-1.220873
5,-0.630672,-1.220873
5,-0.634076,-1.227065
5,-0.634076,-1.227065
5,-0.634076,-1.227065
5,-0.634193,-1.227248
5,-0.634193,-1.227248
5,-0.634193,-1.227248
