robot1
td(ms),wD,wI,id,x,y,z,id,x,y,z
60,-0.000000,0.000000,3,-0.512464,0.141346,1.251131,2,-9999.000000,-9999.000000,-9999.000000
120,0.000000,0.000000,3,-0.512464,0.141346,1.251131,2,-9999.000000,-9999.000000,-9999.000000
180,-0.000000,0.000000,3,-0.512464,0.141346,1.251131,1,0.274846,0.139675,1.343422
240,-0.000000,0.000000,3,-0.512464,0.141346,1.251131,1,0.274846,0.139675,1.343422
300,0.000000,0.000000,3,-0.512464,0.141346,1.251131,1,0.274846,0.139675,1.343422
360,-0.000000,0.000000,3,-0.512464,0.141346,1.251131,1,0.274846,0.139675,1.343422
420,-0.000000,0.000000,3,-0.512464,0.141346,1.251131,1,0.274846,0.139675,1.343422
480,-0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
540,-0.000000,0.000000,3,-0.512794,0.141557,1.252874,1,0.282570,0.144675,1.383185
600,-0.000000,0.000000,3,-0.512794,0.141557,1.252874,1,0.268363,0.136929,1.308624
660,0.000000,0.000000,3,-0.512464,0.141346,1.251131,1,0.274846,0.139675,1.343422
720,-0.000000,0.000000,3,-0.512464,0.141346,1.251131,2,-9999.000000,-9999.000000,-9999.000000
780,-0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
840,0.000000,0.000000,3,-0.512794,0.141557,1.252874,2,-9999.000000,-9999.000000,-9999.000000
900,0.000000,0.000000,3,-0.512464,0.141346,1.251131,1,0.274846,0.139675,1.343422
960,-0.000000,0.000000,3,-0.512464,0.141346,1.251131,1,0.274846,0.139675,1.343422
1020,-0.000000,0.000000,3,-0.512464,0.141346,1.251131,2,-9999.000000,-9999.000000,-9999.000000
1080,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
1140,-0.000000,0.000000,3,-0.512464,0.141346,1.251131,1,0.274846,0.139675,1.343422
1200,0.000000,0.000000,3,-0.512464,0.141346,1.251131,1,0.274846,0.139675,1.343422
1260,-0.000000,0.000000,3,-0.512464,0.141346,1.251131,1,0.268363,0.136929,1.308624
1320,0.000000,0.000000,3,-0.512464,0.141346,1.251131,1,0.274846,0.139675,1.343422
1380,7.752685,7.447315,3,-0.512794,0.141557,1.252874,1,0.274846,0.139675,1.343422
1440,0.000000,0.000000,3,-0.512794,0.141557,1.252874,1,0.275387,0.141419,1.342976
1500,0.000000,0.000000,3,-0.510812,0.141521,1.253079,1,0.281945,0.142858,1.366016
1560,0.000000,0.005943,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
1620,0.000000,0.005943,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
1680,0.005277,0.046932,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
1740,0.005277,0.046932,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
1800,0.005277,4.462636,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
1860,0.005277,4.462636,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
1920,3.162342,5.409223,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
1980,3.162342,5.409223,1,0.029468,0.140726,1.285555,3,-0.730632,0.130936,1.088555
2040,5.001394,5.778432,1,0.026824,0.140586,1.283990,2,-9999.000000,-9999.000000,-9999.000000
2100,5.001394,5.778432,1,0.012842,0.140591,1.284146,2,-9999.000000,-9999.000000,-9999.000000
2160,5.549909,6.043110,1,0.008964,0.150854,1.343930,3,-0.730895,0.123880,1.011758
2220,5.549909,6.043110,1,0.025061,0.142779,1.249767,2,-9999.000000,-9999.000000,-9999.000000
2280,6.790878,-6.123484,1,0.044168,0.148663,1.277854,2,-9999.000000,-9999.000000,-9999.000000
2340,6.790878,-6.123484,1,0.054714,0.150574,1.279756,3,-0.728258,0.136250,1.048966
2400,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
2460,0.000000,-0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
2520,8.081016,-5.302128,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
2580,8.081016,-5.302128,1,0.566355,0.135867,1.086535,3,-0.212184,0.132222,1.138324
2640,8.081016,-0.000000,1,0.566274,0.139045,1.086119,3,-0.212171,0.135329,1.138020
2700,7.389251,7.810749,3,-0.226997,0.141032,1.164201,1,0.554687,0.138344,1.084023
2760,0.000000,0.000000,1,0.574536,0.143508,1.116262,3,-0.218435,0.138430,1.136906
2820,0.000000,0.000000,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
2880,0.000000,0.000000,1,0.535368,0.137507,1.060037,3,-0.236927,0.142941,1.165103
2940,1.504905,1.081943,1,0.548482,0.140930,1.094093,3,-0.244473,0.143082,1.165652
3000,1.504905,1.081943,1,0.533700,0.146165,1.087774,3,-0.257127,0.148480,1.154617
3060,3.614118,1.081943,1,0.530768,0.143932,1.098081,3,-0.262640,0.142407,1.124100
3120,3.614118,1.081943,3,-0.278152,0.145435,1.120860,1,0.505626,0.141807,1.065783
3180,4.755162,4.708776,1,0.501490,0.143536,1.068339,3,-0.277040,0.140113,1.066528
3240,4.755162,4.708776,3,-0.293146,0.146322,1.095334,1,0.489385,0.141448,1.048551
3300,4.983534,5.848334,1,0.488044,0.146477,1.071843,2,-9999.000000,-9999.000000,-9999.000000
3360,4.983534,5.848334,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
3420,5.083909,6.121335,1,-9999.000000,-9999.000000,-9999.000000,3,-9999.000000,-9999.000000,-9999.000000
3480,5.083909,6.121335,1,0.410551,0.147163,1.036169,3,-0.375496,0.140620,1.021903
3540,5.552363,5.903032,1,0.414686,0.152259,1.056791,3,-0.374614,0.139412,0.995564
3600,5.552363,5.903032,1,0.393085,0.151719,1.013647,3,-0.386004,0.139385,0.992514
3660,5.816484,5.976456,1,0.393085,0.151719,1.013647,3,-0.385573,0.136431,0.963623
3720,5.816484,5.976456,1,0.394596,0.154024,1.015861,2,-9999.000000,-9999.000000,-9999.000000
3780,5.768930,6.266277,1,0.379933,0.152362,0.991937,3,-0.402070,0.136594,0.934518
